batchNumber,item,type,location,status
1,Bicycle,B2C,Desk 1,OK
2,Bicycle,B2C,Desk 2,OK
3,Bicycle,B2C,Desk 3,OK
4,Bicycle,B2C,Desk 4,OK
5,Bicycle,B2C,Desk 5,OK
6,Bicycle,B2C,Desk 6,OK
7,Bicycle,B2C,Desk 7,OK
8,Bicycle,B2C,Desk 8,OK
9,Bicycle,B2C,Desk 9,OK
10,Bicycle,B2C,Desk 10,OK
11,Bicycle,B2C,Desk 11,OK
12,Bicycle,B2C,Desk 12,OK
13,Bicycle,B2C,Desk 13,OK
14,Bicycle,B2C,Desk 14,OK
15,Bicycle,B2C,Desk 15,OK
16,Bicycle,B2C,Desk 16,OK
17,Bicycle,B2C,Desk 17,OK
18,Bicycle,B2C,Desk 18,OK
19,Bicycle,B2C,Desk 19,OK
20,Bicycle,B2C,Desk 20,OK
21,Bicycle,B2C,Desk 21,OK
22,Bicycle,B2C,Desk 22,OK
23,Bicycle,B2C,Desk 23,OK
24,Bicycle,B2C,Desk 24,OK
25,Bicycle,B2C,Desk 25,OK
26,Bicycle,B2C,Desk 26,OK
27,Bicycle,B2C,Desk 27,OK
28,Bicycle,B2C,Desk 28,OK
29,Bicycle,B2C,Desk 29,OK
30,Bicycle,B2C,Desk 30,OK
31,Bicycle,B2C,Desk 31,OK
32,Bicycle,B2C,Desk 32,OK
33,Bicycle,B2C,Desk 33,OK
34,Bicycle,B2C,Desk 34,OK
35,Bicycle,B2C,Desk 35,OK
36,Bicycle,B2C,Desk 36,OK
37,Bicycle,B2C,Desk 37,OK
38,Bicycle,B2C,Desk 38,OK
39,Bicycle,B2C,Desk 39,OK
40,Bicycle,B2C,Desk 40,OK
41,Bicycle,B2C,Desk 41,OK
42,Bicycle,B2C,Desk 42,OK
43,Bicycle,B2C,Desk 43,OK
44,Bicycle,B2C,Desk 44,OK
45,Bicycle,B2C,Desk 45,OK
46,Bicycle,B2C,Desk 46,OK
47,Bicycle,B2C,Desk 47,OK
48,Bicycle,B2C,Desk 48,OK
49,Bicycle,B2C,Desk 49,OK
50,Bicycle,B2C,Desk 50,OK
51,Bicycle,B2C,Desk 51,OK
52,Bicycle,B2C,Desk 52,OK
53,Bicycle,B2C,Desk 53,OK
54,Bicycle,B2C,Desk 54,OK
55,Bicycle,B2C,Desk 55,OK
56,Bicycle,B2C,Desk 56,OK
57,Bicycle,B2C,Desk 57,OK
58,Bicycle,B2C,Desk 58,OK
59,Bicycle,B2C,Desk 59,OK
60,Bicycle,B2C,Desk 60,OK
61,Bicycle,B2C,Desk 61,OK
62,Bicycle,B2C,Desk 62,OK
63,Bicycle,B2C,Desk 63,OK
64,Bicycle,B2C,Desk 64,OK
65,Bicycle,B2C,Desk 65,OK
66,Bicycle,B2C,Desk 66,OK
67,Bicycle,B2C,Desk 67,OK
68,Bicycle,B2C,Desk 68,OK
69,Bicycle,B2C,Desk 69,OK
70,Bicycle,B2C,Desk 70,OK
71,Bicycle,B2C,Desk 71,OK
72,Bicycle,B2C,Desk 72,OK
73,Bicycle,B2C,Desk 73,OK
74,Bicycle,B2C,Desk 74,OK
75,Bicycle,B2C,Desk 75,OK
76,Bicycle,B2C,Desk 76,OK
77,Bicycle,B2C,Desk 77,OK
78,Bicycle,B2C,Desk 78,OK
79,Bicycle,B2C,Desk 79,OK
80,Bicycle,B2C,Desk 80,OK
81,Bicycle,B2C,Desk 81,OK
82,Bicycle,B2C,Desk 82,OK
83,Bicycle,B2C,Desk 83,OK
84,Bicycle,B2C,Desk 84,OK
85,Bicycle,B2C,Desk 85,OK
86,Bicycle,B2C,Desk 86,OK
87,Bicycle,B2C,Desk 87,OK
88,Bicycle,B2C,Desk 88,OK
89,Bicycle,B2C,Desk 89,OK
90,Bicycle,B2C,Desk 90,OK
91,Bicycle,B2C,Desk 91,OK
92,Bicycle,B2C,Desk 92,OK
93,Bicycle,B2C,Desk 93,OK
94,Bicycle,B2C,Desk 94,OK
95,Bicycle,B2C,Desk 95,OK
96,Bicycle,B2C,Desk 96,OK
97,Bicycle,B2C,Desk 97,OK
98,Bicycle,B2C,Desk 98,OK
99,Bicycle,B2C,Desk 99,OK
100,Bicycle,B2C,Desk 100,OK
101,Bicycle,B2C,Desk 101,OK
102,Bicycle,B2C,Desk 102,OK
103,Bicycle,B2C,Desk 103,OK
104,Bicycle,B2C,Desk 104,OK
105,Bicycle,B2C,Desk 105,OK
106,Bicycle,B2C,Desk 106,OK
107,Bicycle,B2C,Desk 107,OK
108,Bicycle,B2C,Desk 108,OK
109,Bicycle,B2C,Desk 109,OK
110,Bicycle,B2C,Desk 110,OK
111,Bicycle,B2C,Desk 111,OK
112,Bicycle,B2C,Desk 112,OK
113,Bicycle,B2C,Desk 113,OK
114,Bicycle,B2C,Desk 114,OK
115,Bicycle,B2C,Desk 115,OK
116,Bicycle,B2C,Desk 116,OK
117,Bicycle,B2C,Desk 117,OK
118,Bicycle,B2C,Desk 118,OK
119,Bicycle,B2C,Desk 119,OK
120,Bicycle,B2C,Desk 120,OK
121,Bicycle,B2C,Desk 121,OK
122,Bicycle,B2C,Desk 122,OK
123,Bicycle,B2C,Desk 123,OK
124,Bicycle,B2C,Desk 124,OK
125,Bicycle,B2C,Desk 125,OK
126,Bicycle,B2C,Desk 126,OK
127,Bicycle,B2C,Desk 127,OK
128,Bicycle,B2C,Desk 128,OK
129,Bicycle,B2C,Desk 129,OK
130,Bicycle,B2C,Desk 130,OK
131,Bicycle,B2C,Desk 131,OK
132,Bicycle,B2C,Desk 132,OK
133,Bicycle,B2C,Desk 133,OK
134,Bicycle,B2C,Desk 134,OK
135,Bicycle,B2C,Desk 135,OK
136,Bicycle,B2C,Desk 136,OK
137,Bicycle,B2C,Desk 137,OK
138,Bicycle,B2C,Desk 138,OK
139,Bicycle,B2C,Desk 139,OK
140,Bicycle,B2C,Desk 140,OK
141,Bicycle,B2C,Desk 141,OK
142,Bicycle,B2C,Desk 142,OK
143,Bicycle,B2C,Desk 143,OK
144,Bicycle,B2C,Desk 144,OK
145,Bicycle,B2C,Desk 145,OK
146,Bicycle,B2C,Desk 146,OK
147,Bicycle,B2C,Desk 147,OK
148,Bicycle,B2C,Desk 148,OK
149,Bicycle,B2C,Desk 149,OK
150,Bicycle,B2C,Desk 150,OK
151,Bicycle,B2C,Desk 151,OK
152,Bicycle,B2C,Desk 152,OK
153,Bicycle,B2C,Desk 153,OK
154,Bicycle,B2C,Desk 154,OK
155,Bicycle,B2C,Desk 155,OK
156,Bicycle,B2C,Desk 156,OK
157,Bicycle,B2C,Desk 157,OK
158,Bicycle,B2C,Desk 158,OK
159,Bicycle,B2C,Desk 159,OK
160,Bicycle,B2C,Desk 160,OK
161,Bicycle,B2C,Desk 161,OK
162,Bicycle,B2C,Desk 162,OK
163,Bicycle,B2C,Desk 163,OK
164,Bicycle,B2C,Desk 164,OK
165,Bicycle,B2C,Desk 165,OK
166,Bicycle,B2C,Desk 166,OK
167,Bicycle,B2C,Desk 167,OK
168,Bicycle,B2C,Desk 168,OK
169,Bicycle,B2C,Desk 169,OK
170,Bicycle,B2C,Desk 170,OK
171,Bicycle,B2C,Desk 171,OK
172,Bicycle,B2C,Desk 172,OK
173,Bicycle,B2C,Desk 173,OK
174,Bicycle,B2C,Desk 174,OK
175,Bicycle,B2C,Desk 175,OK
176,Bicycle,B2C,Desk 176,OK
177,Bicycle,B2C,Desk 177,OK
178,Bicycle,B2C,Desk 178,OK
179,Bicycle,B2C,Desk 179,OK
180,Bicycle,B2C,Desk 180,OK
181,Bicycle,B2C,Desk 181,OK
182,Bicycle,B2C,Desk 182,OK
183,Bicycle,B2C,Desk 183,OK
184,Bicycle,B2C,Desk 184,OK
185,Bicycle,B2C,Desk 185,OK
186,Bicycle,B2C,Desk 186,OK
187,Bicycle,B2C,Desk 187,OK
188,Bicycle,B2C,Desk 188,OK
189,Bicycle,B2C,Desk 189,OK
190,Bicycle,B2C,Desk 190,OK
191,Bicycle,B2C,Desk 191,OK
192,Bicycle,B2C,Desk 192,OK
193,Bicycle,B2C,Desk 193,OK
194,Bicycle,B2C,Desk 194,OK
195,Bicycle,B2C,Desk 195,OK
196,Bicycle,B2C,Desk 196,OK
197,Bicycle,B2C,Desk 197,OK
198,Bicycle,B2C,Desk 198,OK
199,Bicycle,B2C,Desk 199,OK
